subject_id,label_sleep,label_first_scenario,label_time_exp,period,TO_Decision_Rural,TO_RT_Rural,TO_MaxSWA_Rural,TO_ReengageTime_Rural,TO_MaxBraking_Rural,TO_Decision_Urban,TO_RT_Urban,TO_MaxSWA_Urban,TO_ReengageTime_Urban,TO_MaxBraking_Urban
1,0,Countryside,16,Country,1,2.45,5.0,12.399000000000001,100.0,1.0,1.484,1.0,9.9,100.0
2,1,Urban,16,Country,4,2.9,2.0,3.233,0.0,,,,,
3,0,Countryside,16,Country,1,2.233,7.0,25.767,100.0,1.0,2.918,5.0,14.068,95.2
4,1,Countryside,16,Country,4,1.665,37.0,,100.0,1.0,1.4669999999999999,10.0,,100.0
5,0,Countryside,10,Country,1,1.4669999999999999,6.0,3.75,100.0,,,,,
6,0,Urban,16,Country,4,1.4669999999999999,8.0,12.967,100.0,1.0,3.7680000000000002,17.0,13.907,100.0
7,1,Urban,16,Country,1,3.85,7.0,14.015999999999998,100.0,4.0,5.535,0.0,6.301,0.0
9,1,Countryside,10,Country,1,1.6669999999999998,93.0,,100.0,1.0,1.2,9.0,,100.0
10,0,Urban,10,Country,1,1.867,4.0,13.683,100.0,1.0,5.466,16.0,10.583,100.0
11,0,Urban,16,Country,1,1.3,0.0,15.017000000000001,100.0,1.0,1.217,1.0,4.9510000000000005,100.0
12,0,Countryside,10,Country,4,2.533,5.0,4.7,0.0,4.0,1.8840000000000001,3.0,9.868,100.0
13,1,Urban,10,Country,1,6.567,2.0,,100.0,3.0,7.202000000000001,200.0,26.631,100.0
14,0,Countryside,16,Country,3,2.5340000000000003,13.0,23.366999999999997,100.0,1.0,2.001,5.0,22.660999999999998,100.0
15,0,Urban,10,Country,1,6.4670000000000005,2.0,,100.0,,,,,
16,0,Urban,16,Country,1,4.4,3.0,9.482000000000001,100.0,,,,,
17,0,Urban,10,Country,1,6.034,7.0,,100.0,2.0,7.818,109.0,,0.0
18,1,Urban,16,Country,1,1.933,30.0,,100.0,4.0,1.8130000000000002,6.0,13.517999999999999,100.0
19,0,Countryside,16,Country,1,1.867,8.0,,100.0,1.0,1.933,0.0,,100.0
20,1,Countryside,16,Country,2,2.0340000000000003,41.0,14.433,100.0,1.0,3.668,0.0,22.986,100.0
21,1,Countryside,16,Country,1,5.199,87.0,,100.0,2.0,1.4,134.0,10.588,0.0
22,1,Countryside,10,Country,1,4.816,7.0,14.183,100.0,1.0,2.801,3.0,11.151,100.0
23,1,Urban,16,Country,1,1.617,27.0,,100.0,4.0,1.368,0.0,19.488,0.0
24,1,Urban,10,Country,1,4.266,9.0,16.816,100.0,1.0,5.417000000000001,5.0,9.435,100.0
25,0,Countryside,10,Country,4,3.417,2.0,4.516,0.0,4.0,2.451,0.0,3.267,0.0
26,0,Urban,10,Country,4,1.4169999999999998,11.0,14.217,100.0,4.0,1.9680000000000002,4.0,,100.0
27,1,Urban,16,Country,4,1.834,9.0,9.934,0.0,,,,,
28,1,Countryside,16,Country,1,6.899,46.0,,100.0,1.0,5.652,5.0,,100.0
29,1,Urban,10,Country,4,0.934,9.0,,100.0,1.0,1.903,1.0,5.159,100.0
30,1,Countryside,10,Country,2,2.766,26.0,11.9,100.0,1.0,4.635,4.0,15.452,100.0
32,1,Urban,10,Country,1,6.7989999999999995,3.0,16.066,100.0,4.0,0.051,62.0,5.019,0.0
33,0,Urban,16,Country,1,2.8,1.0,11.167,100.0,1.0,2.084,0.0,14.235,100.0
34,1,Urban,16,Country,4,2.434,14.0,,100.0,4.0,1.285,0.0,14.119000000000002,100.0
35,0,Urban,10,Country,2,1.834,138.0,,100.0,3.0,3.634,14.0,6.085,100.0
36,0,Countryside,16,Country,4,2.234,5.0,14.232999999999999,100.0,2.0,3.5669999999999997,90.0,,100.0
37,1,Countryside,10,Country,4,2.4330000000000003,37.0,,100.0,4.0,1.5330000000000001,3.0,,100.0
38,0,Urban,16,Country,4,1.767,14.0,9.732999999999999,0.0,,,,,
39,1,Countryside,16,Country,4,3.167,80.0,,100.0,1.0,1.932,2.0,,100.0
40,1,Countryside,10,Country,1,2.9,5.0,15.534,100.0,1.0,2.667,6.0,19.072,100.0
42,0,Urban,16,Country,4,2.099,9.0,13.083,100.0,4.0,2.501,13.0,12.169,100.0
43,1,Countryside,10,Country,3,2.116,8.0,14.232000000000001,100.0,1.0,2.251,16.0,13.693,100.0
44,1,Urban,16,Country,4,0.665,10.0,13.364,100.0,4.0,1.168,5.0,14.942,100.0
45,0,Countryside,10,Country,1,5.182,61.0,,100.0,1.0,3.784,4.0,14.231,100.0
46,0,Urban,16,Country,1,1.216,7.0,24.533,100.0,1.0,1.4680000000000002,1.0,11.517000000000001,100.0
47,1,Countryside,16,Country,1,2.083,6.0,17.6,100.0,1.0,2.0669999999999997,6.0,18.384,100.0
48,1,Urban,10,Country,4,1.35,9.0,15.183,100.0,4.0,1.15,182.0,26.718000000000004,100.0
50,0,Urban,16,Country,3,6.699,10.0,19.599,100.0,4.0,3.85,18.0,16.224,100.0
51,1,Countryside,10,Country,4,2.1830000000000003,3.0,17.25,100.0,,,,,
52,1,Urban,16,Country,4,1.983,38.0,,100.0,4.0,2.417,163.0,,100.0
54,0,Urban,16,Country,4,1.9669999999999999,14.0,15.032,100.0,4.0,1.768,10.0,9.654,100.0
55,1,Countryside,16,Country,4,1.584,12.0,12.833,100.0,4.0,0.867,1.0,13.585999999999999,100.0
56,1,Urban,16,Country,4,1.6669999999999998,7.0,8.318,97.6,4.0,1.8840000000000001,0.0,6.185,0.0
57,0,Countryside,16,Country,4,2.5669999999999997,3.0,11.55,100.0,4.0,1.899,1.0,14.318,100.0
58,0,Urban,10,Country,4,2.65,19.0,15.732999999999999,100.0,4.0,1.735,5.0,15.565999999999999,100.0
59,1,Countryside,16,Country,4,1.2670000000000001,7.0,16.967,100.0,4.0,1.484,1.0,14.219000000000001,100.0
60,1,Urban,16,Country,4,1.4169999999999998,5.0,14.667,100.0,,,,,
61,1,Countryside,10,Country,4,1.018,8.0,15.732999999999999,100.0,4.0,1.018,2.0,15.592,100.0
62,0,Urban,16,Country,4,1.95,12.0,12.216,100.0,,,,,
