code,subject_id,sleep_condition,time_experiment,first_scenario,RT_0_City,RT_1_City,RT_2_City,RT_3_City,RT_4_City,RT_0_Country,RT_1_Country,RT_2_Country,RT_3_Country,RT_4_Country
01_AC16,01,0,16,Country,1.081116,0.8220215,1.106934,1.363037,,1.299316,3.667419,2.049561,1.050903,0.699707
02_DU16,02,1,16,City,0.9544373,2.314331,,,,0.7499695,1.362122,1.615845,34.9353,1.899658
03_AC16,03,0,16,Country,1.022156,1.008484,1.222046,1.314209,0.899292,0.7268982,1.000244,0.8319092,1.666626,0.9000244
04_DC16,04,1,16,Country,1.710815,1.583008,1.55957,1.51001,,1.700867,15.10004,1.49939,1.400513,1.43335
05_AC10,05,0,10,Country,1.815369,1.424805,,,,1.666779,1.383423,1.466309,1.50061,1.43335
06_AU16,06,0,16,City,2.41272,1.235901,1.812012,1.349609,,3.566467,1.266968,1.365723,1.099976,1.500122
07_DU16,07,1,16,City,1.959259,2.322327,1.853027,1.383545,1.36792,1.600281,1.434814,1.599243,1.56665,1.366577
08_AC10,08,0,10,Country,1.660828,1.675049,1.844727,1.489258,,1.533295,2.132996,2.400146,1.699707,1.932861
09_DC10,09,1,10,Country,1.516113,1.445618,23.59119,1.627563,9.755981,2.349915,1.599915,1.266418,1.232788,1.433472
10_AU10,10,0,10,City,2.282562,49.10516,1.490845,1.382446,,4.167358,44.23383,2.465637,1.116089,1.349731
11_AU16,11,0,16,City,1.477631,1.588135,1.362976,1.649536,1.216675,1.612183,1.39978,1.183044,2.033447,1.300049
12_AC10,12,0,10,Country,1.300751,1.250183,1.397461,1.335938,,2.834015,1.400208,1.299316,1.433716,1.633301
13_DU10,13,1,10,City,1.276123,1.676453,3.347656,2.423462,,2.399933,1.734009,1.632141,2.033569,24.70105
14_AC16,14,0,16,Country,1.865234,1.664307,1.706543,1.653076,1.649658,1.366364,1.034119,1.265686,1.467163,1.799561
15_AU10,15,0,10,City,1.796783,1.650146,,,,2.233398,1.632202,1.365723,1.433594,1.216919
16_AU16,16,0,16,City,1.369293,1.639038,1.528992,,,20.31595,1.484009,1.39978,1.232788,
17_AU10,17,0,10,City,2.162506,1.574036,1.432251,1.270508,,1.499786,1.199341,1.165833,1.332642,1.199585
18_DU16,18,1,16,City,1.632446,1.819885,6.486511,,,1.33371,25.70068,4.577393,1.299561,1.450562
19_AC16,19,0,16,Country,1.541748,1.656799,1.466431,1.665649,,1.63382,1.450195,2.100037,1.633789,1.416626
20_DC16,20,1,16,Country,2.345154,3.096008,1.502075,1.451172,,11.54962,1.48468,1.58374,1.56604,1.616943
21_DC16,21,1,16,Country,1.625916,1.30719,1.222717,1.446045,,1.967377,1.466858,1.365662,1.599854,1.233154
22_DC10,22,1,10,Country,2.294495,6.890259,1.545532,2.483276,,5.762177,1.316223,2.715637,1.300293,1.367065
23_DU16,23,1,16,City,2.370483,2.758545,1.554382,2.160156,,1.666748,1.53418,1.632751,5.732544,1.466553
