code,subject_id,sleep_condition,time_experiment,first_scenario,RT_0_City,RT_1_City,RT_2_City,RT_3_City,RT_4_City,RT_0_Country,RT_1_Country,RT_2_Country,RT_3_Country,RT_4_Country
01_AC16,1,0,16,Country,1.081116,0.8220215,1.106934,1.363037,,1.299316,3.667419,2.049561,1.0509030000000001,
02_DU16,2,1,16,City,0.9544372999999999,2.314331,,,,0.7499695,1.3621219999999998,1.615845,,1.899658
03_AC16,3,0,16,Country,1.0221559999999998,1.008484,1.222046,1.314209,0.899292,0.7268982,1.0002440000000001,0.8319091999999999,1.666626,0.9000244000000001
04_DC16,4,1,16,Country,1.7108150000000002,1.583008,1.5595700000000001,1.51001,,1.700867,,1.49939,1.400513,1.43335
05_AC10,5,0,10,Country,1.8153689999999998,1.4248049999999999,,,,1.666779,1.3834229999999998,1.466309,1.50061,1.43335
06_AU16,6,0,16,City,2.41272,1.235901,1.812012,1.349609,,3.566467,1.266968,1.365723,1.099976,1.500122
07_DU16,7,1,16,City,1.959259,2.322327,1.853027,1.383545,1.36792,1.6002809999999998,1.434814,1.599243,1.56665,1.3665770000000002
08_AC10,8,0,10,Country,1.660828,1.6750490000000002,1.844727,1.489258,,1.533295,2.132996,2.400146,1.699707,1.9328610000000002
09_DC10,9,1,10,Country,1.5161129999999998,1.445618,,1.6275629999999999,,2.349915,1.599915,1.266418,1.232788,1.4334719999999999
10_AU10,10,0,10,City,2.282562,,1.490845,1.3824459999999998,,4.167358,,2.465637,1.1160889999999999,1.349731
11_AU16,11,0,16,City,1.477631,1.588135,1.362976,1.6495360000000001,1.216675,1.612183,1.39978,1.183044,2.0334470000000002,1.300049
12_AC10,12,0,10,Country,1.300751,1.250183,1.397461,1.3359379999999998,,2.834015,1.400208,1.299316,1.433716,1.6333010000000001
13_DU10,13,1,10,City,1.276123,1.676453,3.3476559999999997,2.423462,,2.3999330000000003,1.734009,1.632141,2.033569,
14_AC16,14,0,16,Country,1.865234,1.664307,1.706543,1.6530759999999998,1.649658,1.366364,1.034119,1.265686,1.467163,1.799561
15_AU10,15,0,10,City,1.7967830000000002,1.650146,,,,2.2333979999999998,1.6322020000000002,1.365723,1.433594,1.216919
16_AU16,16,0,16,City,1.369293,1.639038,1.528992,,,,1.484009,1.39978,1.232788,
17_AU10,17,0,10,City,2.162506,1.574036,1.432251,1.270508,,1.499786,1.199341,1.165833,1.332642,1.1995850000000001
18_DU16,18,1,16,City,1.6324459999999998,1.8198849999999998,,,,1.33371,,4.577393,1.299561,1.4505620000000001
19_AC16,19,0,16,Country,1.541748,1.6567990000000001,1.466431,1.6656490000000002,,1.63382,1.4501950000000001,2.100037,1.633789,1.416626
20_DC16,20,1,16,Country,2.345154,3.0960080000000003,1.502075,1.451172,,,1.48468,1.58374,1.5660399999999999,1.616943
21_DC16,21,1,16,Country,1.625916,1.30719,1.222717,1.446045,,1.9673770000000002,1.466858,1.3656620000000002,1.599854,1.233154
22_DC10,22,1,10,Country,2.294495,,1.545532,2.483276,,,1.316223,2.715637,1.300293,1.367065
23_DU16,23,1,16,City,2.370483,2.7585450000000002,1.554382,2.160156,,1.666748,1.5341799999999999,1.632751,5.732544,1.466553
24_DU10,24,1,10,City,1.664734,1.438599,1.2318120000000001,0.9552002,1.083374,1.016357,2.366638,,1.100098,1.3831790000000002
25_AC10,25,0,10,Country,1.609161,1.8779299999999999,2.137695,,,,1.9164430000000001,,1.85022,1.717041
26_AU10,26,0,10,City,1.627472,1.255737,1.4887700000000001,0.9665527,,1.204712,1.033447,1.08313,0.9331055,
27_DU16,27,1,16,City,2.2757259999999997,2.380859,1.6696779999999998,1.6696779999999998,,1.7339779999999998,1.966675,1.465454,1.5665280000000001,1.633545
